EVENT_ID,EVENT_TIME,EVENT_JULIAN_DATE,QP_AMPLITUDE,QI_AMPLITUDE,QT_AMPLITUDE,QC_AMPLITUDE,SPACECRAFT_SUN_DISTANCE,SPACECRAFT_SATURN_DISTANCE,SPACECRAFT_X_VELOCITY,SPACECRAFT_Y_VELOCITY,SPACECRAFT_Z_VELOCITY,COUNTER_NUMBER,PARTICLE_MASS,PARTICLE_CHARGE
398120,2005-001T00:02:42,2453371.502,0.0,0.0,5.8e-15,0.0,9.0501,59.63,-8.38,-4.45,-1.08,37,-9.9e-99,-9.9e-99
398121,2005-001T00:04:55,2453371.503,0.0,0.0,4.7e-15,0.0,9.0501,59.63,-8.38,-4.45,-1.08,19,-9.9e-99,-9.9e-99
398122,2005-001T00:07:36,2453371.505,0.0,0.0,0.0,0.0,9.0501,59.63,-8.38,-4.45,-1.08,37,-9.9e-99,-9.9e-99
398123,2005-001T00:09:24,2453371.5069999998,0.0,0.0,0.0,0.0,9.0501,59.63,-8.38,-4.45,-1.08,37,-9.9e-99,-9.9e-99
398124,2005-001T00:13:05,2453371.509,0.0,0.0,1.7e-14,0.0,9.0501,59.63,-8.38,-4.45,-1.08,37,-9.9e-99,-9.9e-99
398125,2005-001T00:20:26,2453371.514,0.0,0.0,0.0,0.0,9.0501,59.63,-8.38,-4.45,-1.08,37,-9.9e-99,-9.9e-99
398126,2005-001T00:20:27,2453371.514,0.0,2.1e-15,1.9e-14,0.0,9.0501,59.63,-8.38,-4.45,-1.08,76,-9.9e-99,-9.9e-99
398127,2005-001T00:24:20,2453371.517,0.0,0.0,0.0,0.0,9.0501,59.63,-8.38,-4.45,-1.08,37,-9.9e-99,-9.9e-99
398128,2005-001T00:26:10,2453371.518,0.0,1.7e-15,0.0,0.0,9.0501,59.63,-8.38,-4.45,-1.08,19,-9.9e-99,-9.9e-99
398129,2005-001T00:31:39,2453371.522,0.0,0.0,0.0,0.0,9.0501,59.63,-8.38,-4.45,-1.08,37,-9.9e-99,-9.9e-99
